dataset,fraction_label,model,mode,n,psnr_full_mean,psnr_full_std,psnr_patch_mean,psnr_patch_std,ssim_full_mean,ssim_full_std,ssim_patch_mean,ssim_patch_std,lpips_full_mean,lpips_full_std,lpips_patch_mean,lpips_patch_std
imagenet_sketch,10,llamagen,closest,50889,27.827121759013167,6.207131370473625,,,0.9530677122727659,0.021451978844163767,0.6660741775371168,0.15102544993454467,0.022563663570061326,0.009623696319113875,0.1000555795580708,0.04370155910911409
imagenet_sketch,10,llamagen,orthogonal,50889,19.3395194267606,2.7530574012517475,10.43894907523534,2.769695213920873,0.8578717944937767,0.032659312049218577,0.14425904212226295,0.10853538066477823,0.11497889275507646,0.01887716800455734,0.535744900013694,0.08742177022200441
imagenet_sketch,10,llamagen,random_uniform,50889,19.27934688112341,2.4962480322479736,10.359332590703714,2.5262976546582525,0.8593132325718348,0.032069566381378686,0.15200287052600014,0.10665192027662411,0.11431290608666388,0.019096042425413167,0.5312187034257465,0.08490666641496004
imagenet_sketch,10,llamagen,farthest,50889,15.747844396495644,1.8181921303674697,6.526995723239462,1.9354908594242162,0.8309892454429662,0.031801657313607054,0.037526828421251684,0.04875435554906701,0.14977941528241154,0.027767513991328027,0.650534178574477,0.10457771890231578
imagenet_sketch,10,vqgan,closest,50889,25.516160697418186,4.668377406237297,,,0.9360569132817596,0.027191547495312256,0.6097881193209174,0.15953340372010305,0.03228684445143743,0.01296699276623741,0.13088329772692103,0.05598541535548253
imagenet_sketch,10,vqgan,orthogonal,50889,17.608035437647438,2.1748660198005703,9.168418381883363,2.0530460198259064,0.8199151578115188,0.046210214551514944,0.09487699712363526,0.07659588663515693,0.1398935340294102,0.023880778863788973,0.5567989717049608,0.08831157001753381
imagenet_sketch,10,vqgan,random_uniform,50889,19.126257442921737,2.431493060578539,11.086625606199126,2.258572569975816,0.8317503346982972,0.04892597246442107,0.18282142713708438,0.12352300572856123,0.13950079704437138,0.023468868704936006,0.6350440654422186,0.09008150746343437
imagenet_sketch,10,vqgan,farthest,50889,12.297532504755829,1.3164820377288886,3.247704775767749,1.4761128172986706,0.7771322749258341,0.05120859041662205,0.013623196552159225,0.03554469841279082,0.20674218066834188,0.0346482791950829,0.735103550282232,0.08651994213797934
imagenet_sketch,25,llamagen,closest,50889,24.24163472586396,5.917271838397095,,,0.8999396940520973,0.04483885166082672,0.6771376854571439,0.13816542090744507,0.05014565396888442,0.018769412680710664,0.12144739166967698,0.04521503372550999
imagenet_sketch,25,llamagen,orthogonal,50889,14.918172839542924,1.978490699692172,9.489043201425474,1.973069842502408,0.705460374628081,0.056089237895174664,0.14472040293283908,0.08230841614287902,0.26178031648078415,0.0293103689765882,0.6230626060442213,0.0653029173338631
imagenet_sketch,25,llamagen,random_uniform,50889,14.843580243406356,1.8787129580723365,9.405091480458928,1.8843865051447166,0.70683537347449,0.05760283198135873,0.1504122043521854,0.08096120876326321,0.26063865477666465,0.03093032507681894,0.6199100165080493,0.06673874488661355
imagenet_sketch,25,llamagen,farthest,50889,11.011550886417464,1.6839211767786326,5.416422406845468,1.742855233252551,0.6560602442623906,0.058507616285044785,0.039244250087989374,0.03928867006502536,0.3223903195519599,0.04287455705943568,0.7238506099826337,0.0828840208992566
imagenet_sketch,25,vqgan,closest,50889,22.189168120911624,4.24329294387819,17.42119728701401,4.541639409884815,0.8662416988681381,0.05590984831248772,0.6122664803282806,0.14860082729966848,0.07347682846417306,0.0259831295449071,0.1710317098922683,0.06112687035480478
imagenet_sketch,25,vqgan,orthogonal,50889,13.790235066552047,1.6948685889365742,8.562555584623494,1.6314953855979493,0.6573519116210939,0.07730035022378554,0.09719655817162763,0.0664842691069978,0.29513828120394386,0.03638668564083916,0.6404063245725378,0.0705967173859707
imagenet_sketch,25,vqgan,random_uniform,50889,15.195728479185451,1.9693674074892837,10.24602977435962,1.946817292454503,0.6903922578796503,0.09554754071210356,0.2572123492995466,0.14167282976425188,0.3222893235134773,0.03735368717535748,0.763231107116638,0.06999993999548
imagenet_sketch,25,vqgan,farthest,50889,8.321686425346211,1.161094837384745,2.856366695819966,1.2487950096786498,0.5769577595035251,0.08041657233233436,0.007978241236398334,0.02934175301483574,0.4171227901888792,0.04892582549155224,0.8095562653827448,0.08050616125124639
imagenet_sketch,50,llamagen,closest,50889,22.243234345006552,5.68204267170305,,,0.8441705479624979,0.0730505056728238,0.711164675020057,0.12865148740988525,0.0803648415077325,0.02935609901414431,0.12424705707822382,0.044592282781656695
imagenet_sketch,50,llamagen,orthogonal,50889,11.896304772296208,1.7009368961883093,8.963395609846017,1.7012321680794995,0.52090295497824,0.07840795014964148,0.16555844224252536,0.0780747578428303,0.4432482358202411,0.03892421262832536,0.6604621442087804,0.05436068467249155
imagenet_sketch,50,llamagen,random_uniform,50889,11.774218934568333,1.6636864945801777,8.834366649444426,1.6729000215939716,0.5222976513138293,0.08101106135329142,0.16753418926828226,0.07367319739000577,0.44357334886499294,0.040717279064892434,0.6601726095183881,0.05687425850787047
imagenet_sketch,50,llamagen,farthest,50889,7.682326195445231,1.549705609842854,4.657970786397947,1.5861119473335468,0.43773765619089094,0.06931176142834027,0.040535865663283085,0.030808043758726058,0.5359169867950957,0.05368536792630974,0.7698092898499062,0.07128801808351384
imagenet_sketch,50,vqgan,closest,50889,20.415253092374673,4.103114655847933,17.863800396132643,4.212431760032823,0.796582080486934,0.08962917956167529,0.6462760605119314,0.14217167286511925,0.12059364752872635,0.042179116699070596,0.18434540204884328,0.06340479735844391
imagenet_sketch,50,vqgan,orthogonal,50889,11.043776158853474,1.4448088166676485,8.16746648051648,1.4260041006006576,0.47129237221296205,0.0920857702938757,0.11647120859680637,0.07281552849507018,0.48079014497239086,0.044927592646645996,0.6821692053568796,0.06046952551790874
imagenet_sketch,50,vqgan,random_uniform,50889,12.276795959244035,1.745773212946795,9.537683096386779,1.7936129034423591,0.5574273918398757,0.12690778130094918,0.31580789695851497,0.14081939577246372,0.5456861403657041,0.046316044913013096,0.8139132656907068,0.06356034601350782
imagenet_sketch,50,vqgan,farthest,50889,5.3694899958617475,1.0719404568830089,2.4224770529053097,1.1317306289487996,0.3399293326329626,0.07486393719806451,0.0032163700002579955,0.02598109435927751,0.6493975398661793,0.05794391079555919,0.838453450002702,0.07335066616829121
imagenet_sketch,75,llamagen,closest,50889,21.037979199802663,5.375537853638092,,,0.7943454697052043,0.1016559346868765,0.7467232196026823,0.12159044667592148,0.10710221585110684,0.03979952940154547,0.12250112789636577,0.04487268696122988
imagenet_sketch,75,llamagen,orthogonal,50889,8.71257071574953,1.5081246656019387,7.693715039040443,1.5220547127525652,0.297718400475487,0.07343153254025682,0.1585213262119919,0.06342241997852939,0.6404677615204784,0.04495768740663721,0.7157192001218338,0.05081329186440578
imagenet_sketch,75,llamagen,random_uniform,50889,8.526667717446912,1.5333593129071568,7.502971084954728,1.5522565673956261,0.30049236677435587,0.07304198733505128,0.1610980749615985,0.05940132122246557,0.6393358795460463,0.046177029857499136,0.7145389832067097,0.052140142757548066
imagenet_sketch,75,llamagen,farthest,50889,4.529979994631971,1.3820062341025334,3.474613600905436,1.4046378699697075,0.18211968525216216,0.046223250949114156,0.031068992301239214,0.022553926533348236,0.7500431104493358,0.06067981238876945,0.8254328469499793,0.06649675877759763
imagenet_sketch,75,vqgan,closest,50889,19.39976675185792,3.9580728925252116,18.522774791797453,3.986750393549499,0.7375936535726928,0.12060192539877179,0.684703703464681,0.13817096732219206,0.1643320464720581,0.059768414739219435,0.18801196269107845,0.0672673783487058
imagenet_sketch,75,vqgan,orthogonal,50889,8.218397441284859,1.2808271260003572,7.192302459284969,1.2916472113786288,0.2715569661604115,0.0957283137247292,0.13949179816252275,0.09082216809276648,0.6638659267136562,0.04992330174081693,0.7287725414013834,0.05502492104043084
imagenet_sketch,75,vqgan,random_uniform,50889,9.1422672682755,1.6475213898749568,8.141752305445962,1.6948003619214445,0.44455689676712107,0.13323520133023364,0.3716392096111689,0.13680468139424568,0.7804946747992567,0.05170699558392542,0.8756217384589499,0.06237485707359727
imagenet_sketch,75,vqgan,farthest,50889,2.8996727523672083,1.0086631321226545,1.9001949183143745,1.0396393736666252,0.10099391769737881,0.03862500281254681,-0.0018671955119292645,0.02408275041094228,0.8192159229217021,0.06537562669908066,0.8491994179427282,0.06785412907208556
imagenet_val,10,llamagen,closest,50000,29.337518303236468,3.3694821896895326,,,0.9442808693516255,0.018767583044968512,0.6286964984637499,0.12432242526514381,0.02478076301336288,0.008811900986231923,0.1088667296385765,0.040850506993834336
imagenet_val,10,llamagen,orthogonal,50000,20.829944664006206,2.0830388562045163,11.946000248817157,2.2294262616880713,0.8382351042664051,0.03116117786090349,0.13935836899003654,0.09130841014193963,0.11649346313476562,0.01807672815870098,0.518849091796875,0.0807413062392358
