dataset,fraction_label,model,mode,n,inside_change_mean,inside_change_std,outside_change_mean,outside_change_std,leakage_ratio_mean,leakage_ratio_std,leakage_ratio_median,outside_p99_mean,outside_p99_std,outside_p999_mean,outside_p999_std
imagenet_sketch,10,llamagen,closest,50889,0.07433403321728253,0.03850059003174681,0.007295693157585509,0.004000455544098306,9.602612160369198,856.6969832336878,0.099808711144178,0.10390322067912357,0.051388295508067214,0.27537454060929756,0.1122257389899789
imagenet_sketch,10,llamagen,orthogonal,50889,0.25408795204092255,0.07236086148173566,0.022459503581907025,0.008708657047305038,0.09105651378758119,0.03444829414905464,0.0869349274488864,0.26822248129780085,0.09392976784516528,0.530472447488865,0.1542514587602571
imagenet_sketch,10,llamagen,random_uniform,50889,0.25326929774880597,0.07242942249640939,0.02230607947752994,0.008679506063704767,0.09083050098999114,0.033768377705950633,0.0869648909996427,0.2667682615544104,0.09447112755494165,0.5319367197529326,0.15534657558450723
imagenet_sketch,10,llamagen,farthest,50889,0.4193908693659775,0.10164258574682136,0.029116765777066685,0.010111100301210716,0.07205791571200819,0.027631643219872343,0.0682011034085937,0.34941747732176387,0.10557291022176551,0.6438646441621467,0.14773628087041196
imagenet_sketch,10,vqgan,closest,50889,0.08747938540908619,0.045841076652972254,0.011373624490079143,0.0064249889688093535,1.6445494108145828,334.8650104123707,0.1328462303382931,0.17102162028828433,0.08629606811304438,0.4149609320389433,0.1694171451949127
imagenet_sketch,10,vqgan,orthogonal,50889,0.28287813230631603,0.06668247896736246,0.027920951200730085,0.012923108172589926,0.10030396380780972,0.04400011595141508,0.093846101164638,0.3919094491379409,0.14249263211659938,0.6775752018480767,0.17391748898148748
imagenet_sketch,10,vqgan,random_uniform,50889,0.25212744978384527,0.0637662433328236,0.0282428766086806,0.012932587102360693,0.11577561471326078,0.05382333514767907,0.1055944725090674,0.349589716457927,0.13283487602195393,0.6010239125154372,0.18270510582348137
imagenet_sketch,10,vqgan,farthest,50889,0.6061243504159801,0.12635806843672784,0.04136842561987718,0.016874787633881123,0.07138243057738677,0.03401691612190322,0.0653850917948647,0.5877091082650696,0.1648794629761977,0.9088351197060174,0.10317838951972454
imagenet_sketch,25,llamagen,closest,50889,0.07125767841270597,0.03410002887814339,0.010095353638286786,0.0061080555875903785,5.317268019788737,1122.4668349891374,0.1415188058057663,0.12988750149275788,0.06576785686543962,0.3078939672167599,0.12340773944253784
imagenet_sketch,25,llamagen,orthogonal,50889,0.2870958479626404,0.06651416226321269,0.03640730184100611,0.014324444124816616,0.12831677301177558,0.047753406913282836,0.1239274387112573,0.329407675499303,0.11418587417524763,0.5709140214655337,0.15318273209525057
imagenet_sketch,25,llamagen,random_uniform,50889,0.2876453818277791,0.06590047666105973,0.03632233717687804,0.014130998620757208,0.12814347767443174,0.047033131165165276,0.1237761615827837,0.32911410194685664,0.11488994867053837,0.574462006102586,0.15479003491764384
imagenet_sketch,25,llamagen,farthest,50889,0.48543582583822587,0.10569365780079447,0.047149756394444284,0.017606328514187117,0.099893989986576,0.03963579809957021,0.0954692354856721,0.4408804855707384,0.13077571703899532,0.7062118034282859,0.14290083016280977
imagenet_sketch,25,vqgan,closest,50889,0.08574017829543315,0.04123239823798875,0.01611503567041713,0.010242341832544442,0.20467716692158447,0.13702908847798553,0.1876013516987637,0.216049423338495,0.11202752920407884,0.4588056792144847,0.18019282757978994
imagenet_sketch,25,vqgan,orthogonal,50889,0.3093099933642883,0.059073076636174816,0.038736516287010345,0.01932120986561989,0.12673778553555068,0.06200034112303923,0.1187810143900734,0.44542666693968425,0.15956394839565688,0.7052141069240915,0.1639186390388653
imagenet_sketch,25,vqgan,random_uniform,50889,0.2833962603344257,0.0625628218036006,0.04344815186340744,0.019938727224152224,0.15937846496755464,0.07904681183412063,0.1433724085128962,0.4061841329993205,0.15070432345497803,0.636286033193735,0.184050719332781
imagenet_sketch,25,vqgan,farthest,50889,0.6411811235341167,0.10878313521253574,0.06151366208427439,0.026908499193653047,0.09902877206316439,0.0483658207798401,0.0918972223167631,0.7048174345974398,0.17325011766855192,0.9355901874045096,0.08532193566460271
imagenet_sketch,50,llamagen,closest,50889,0.06338789678083026,0.030082530954103397,0.01236252852809324,0.008491754955858542,0.9715442981168351,14.102195902157309,0.1897364047728164,0.14463225802334356,0.08293614770821972,0.3181140055226048,0.14496173090285053
imagenet_sketch,50,llamagen,orthogonal,50889,0.3092205743693676,0.06449252821611631,0.05678189727539726,0.022046767894091844,0.18455018459726388,0.065005402468316,0.1785892707209075,0.36744715061814537,0.13692851233591277,0.5818221735653927,0.16874772092159895
imagenet_sketch,50,llamagen,random_uniform,50889,0.312710448714308,0.0637731606198645,0.05669468049692963,0.021739280611664084,0.18289170697626844,0.06493053663076609,0.1771685030022552,0.36857373993920456,0.13830072609542654,0.5876712448520383,0.17074854558821148
imagenet_sketch,50,llamagen,farthest,50889,0.5354084434587101,0.10612889844778847,0.07226523961644828,0.03017473973371206,0.13822233403236756,0.05936774174254176,0.1335322211338076,0.5092381008709792,0.16438281362724713,0.7395801411608385,0.16216525946042437
imagenet_sketch,50,vqgan,closest,50889,0.07749615391252478,0.03663390319534307,0.019373087813367194,0.014194496368425801,0.2578173404124805,0.15603854880058668,0.2404528577441966,0.2368226836061362,0.13798800630106378,0.46622424705346427,0.20402330177707725
imagenet_sketch,50,vqgan,orthogonal,50889,0.3297424732047649,0.056024476058394196,0.050241193450035145,0.0270728689253461,0.15417541061170947,0.08249742560634565,0.1441151608831779,0.4684404675894701,0.17488149358533436,0.7028005366121097,0.17678929400522847
imagenet_sketch,50,vqgan,random_uniform,50889,0.31049139924719155,0.062180458875053,0.05787522725909934,0.027698495287226278,0.19432572589298747,0.10288528738081495,0.1753787376614743,0.42845850007667774,0.169341098016318,0.645385908951367,0.20302551878389546
imagenet_sketch,50,vqgan,farthest,50889,0.6862089343130108,0.10260682570591526,0.09078272056344719,0.03922544573077763,0.13611298433938265,0.06415330490035116,0.1291494409509737,0.7812863125759406,0.1602781673652039,0.9411165945562988,0.08549194873488833
imagenet_sketch,75,llamagen,closest,50889,0.05545318404235383,0.026878620006011468,0.014744618026428966,0.011517353322111365,2.4306723698369357,45.70689518213654,0.2463229701796356,0.15306585655991212,0.10589924080720053,0.30995063061983297,0.17352362946967193
imagenet_sketch,75,llamagen,orthogonal,50889,0.3720981086591268,0.06926244643992362,0.0979250566692959,0.037735955737989144,0.26667293417938326,0.09922067731501698,0.2562508703007274,0.4162502308651325,0.16689068537400756,0.5848806706957804,0.185577214425563
imagenet_sketch,75,llamagen,random_uniform,50889,0.38010542977289014,0.07029656687094286,0.09750714613239053,0.037525673798298013,0.2612690977593055,0.09978760218936945,0.2511844612558307,0.4185672530415707,0.17109098867610192,0.5924144517347327,0.18978390969314402
imagenet_sketch,75,llamagen,farthest,50889,0.6294510264019233,0.11000380270375272,0.12336154735578414,0.05907200095597195,0.2016989081835246,0.10016479844402948,0.1910430330164155,0.5846478445520172,0.20881648125345084,0.7618289699547541,0.1960908542355983
imagenet_sketch,75,vqgan,closest,50889,0.06889409890881251,0.033096083312517385,0.022265048220062623,0.018586968919400062,0.3212804158888593,0.21019394722681728,0.2948067033872929,0.24480282411420207,0.16727258243004206,0.44796352203019973,0.23630018569484987
imagenet_sketch,75,vqgan,orthogonal,50889,0.3853955905986684,0.060682185027461866,0.07498385935683692,0.04103190177584358,0.1992520982770132,0.11173380067764752,0.1846158055738262,0.4935188082183482,0.19691138895478452,0.6877631660817929,0.202186827796815
imagenet_sketch,75,vqgan,random_uniform,50889,0.37271690140615815,0.06895106842069697,0.07700966830875351,0.04073610450308641,0.21774176810466309,0.12987542185011824,0.1944554768665025,0.4345030242913956,0.1837944938198133,0.6138868549712418,0.2260348886122557
imagenet_sketch,75,vqgan,farthest,50889,0.7472096477840099,0.10079154558711156,0.1667867238102878,0.06365181124657315,0.22816841176969305,0.09334982587840226,0.2198696285357849,0.855440868099476,0.12472892939971614,0.9453964532439696,0.07861988156176254
