dataset,fraction_label,model,mode,n,inside_change_mean,outside_change_mean,leakage_ratio_mean,outside_p99_mean,outside_p999_mean,psnr_patch_mean,ssim_patch_mean,lpips_patch_mean,psnr_full_mean,ssim_full_mean,lpips_full_mean
imagenet_sketch,10,llamagen,closest,50889,0.07433403321728253,0.007295693157585509,9.602612160369198,0.10390322067912357,0.27537454060929756,,0.6660741775371168,0.1000555795580708,27.827121759013167,0.9530677122727659,0.022563663570061326
imagenet_sketch,10,llamagen,orthogonal,50889,0.25408795204092255,0.022459503581907025,0.09105651378758119,0.26822248129780085,0.530472447488865,10.43894907523534,0.14425904212226295,0.535744900013694,19.3395194267606,0.8578717944937767,0.11497889275507646
imagenet_sketch,10,llamagen,random_uniform,50889,0.25326929774880597,0.02230607947752994,0.09083050098999114,0.2667682615544104,0.5319367197529326,10.359332590703714,0.15200287052600014,0.5312187034257465,19.27934688112341,0.8593132325718348,0.11431290608666388
imagenet_sketch,10,llamagen,farthest,50889,0.4193908693659775,0.029116765777066685,0.07205791571200819,0.34941747732176387,0.6438646441621467,6.526995723239462,0.037526828421251684,0.650534178574477,15.747844396495644,0.8309892454429662,0.14977941528241154
imagenet_sketch,10,vqgan,closest,50889,0.08747938540908619,0.011373624490079143,1.6445494108145828,0.17102162028828433,0.4149609320389433,,0.6097881193209174,0.13088329772692103,25.516160697418186,0.9360569132817596,0.03228684445143743
imagenet_sketch,10,vqgan,orthogonal,50889,0.28287813230631603,0.027920951200730085,0.10030396380780972,0.3919094491379409,0.6775752018480767,9.168418381883363,0.09487699712363526,0.5567989717049608,17.608035437647438,0.8199151578115188,0.1398935340294102
imagenet_sketch,10,vqgan,random_uniform,50889,0.25212744978384527,0.0282428766086806,0.11577561471326078,0.349589716457927,0.6010239125154372,11.086625606199126,0.18282142713708438,0.6350440654422186,19.126257442921737,0.8317503346982972,0.13950079704437138
imagenet_sketch,10,vqgan,farthest,50889,0.6061243504159801,0.04136842561987718,0.07138243057738677,0.5877091082650696,0.9088351197060174,3.247704775767749,0.013623196552159225,0.735103550282232,12.297532504755829,0.7771322749258341,0.20674218066834188
imagenet_sketch,25,llamagen,closest,50889,0.07125767841270597,0.010095353638286786,5.317268019788737,0.12988750149275788,0.3078939672167599,,0.6771376854571439,0.12144739166967698,24.24163472586396,0.8999396940520973,0.05014565396888442
imagenet_sketch,25,llamagen,orthogonal,50889,0.2870958479626404,0.03640730184100611,0.12831677301177558,0.329407675499303,0.5709140214655337,9.489043201425474,0.14472040293283908,0.6230626060442213,14.918172839542924,0.705460374628081,0.26178031648078415
imagenet_sketch,25,llamagen,random_uniform,50889,0.2876453818277791,0.03632233717687804,0.12814347767443174,0.32911410194685664,0.574462006102586,9.405091480458928,0.1504122043521854,0.6199100165080493,14.843580243406356,0.70683537347449,0.26063865477666465
imagenet_sketch,25,llamagen,farthest,50889,0.48543582583822587,0.047149756394444284,0.099893989986576,0.4408804855707384,0.7062118034282859,5.416422406845468,0.039244250087989374,0.7238506099826337,11.011550886417464,0.6560602442623906,0.3223903195519599
imagenet_sketch,25,vqgan,closest,50889,0.08574017829543315,0.01611503567041713,0.20467716692158447,0.216049423338495,0.4588056792144847,17.42119728701401,0.6122664803282806,0.1710317098922683,22.189168120911624,0.8662416988681381,0.07347682846417306
imagenet_sketch,25,vqgan,orthogonal,50889,0.3093099933642883,0.038736516287010345,0.12673778553555068,0.44542666693968425,0.7052141069240915,8.562555584623494,0.09719655817162763,0.6404063245725378,13.790235066552047,0.6573519116210939,0.29513828120394386
imagenet_sketch,25,vqgan,random_uniform,50889,0.2833962603344257,0.04344815186340744,0.15937846496755464,0.4061841329993205,0.636286033193735,10.24602977435962,0.2572123492995466,0.763231107116638,15.195728479185451,0.6903922578796503,0.3222893235134773
imagenet_sketch,25,vqgan,farthest,50889,0.6411811235341167,0.06151366208427439,0.09902877206316439,0.7048174345974398,0.9355901874045096,2.856366695819966,0.007978241236398334,0.8095562653827448,8.321686425346211,0.5769577595035251,0.4171227901888792
imagenet_sketch,50,llamagen,closest,50889,0.06338789678083026,0.01236252852809324,0.9715442981168351,0.14463225802334356,0.3181140055226048,,0.711164675020057,0.12424705707822382,22.243234345006552,0.8441705479624979,0.0803648415077325
imagenet_sketch,50,llamagen,orthogonal,50889,0.3092205743693676,0.05678189727539726,0.18455018459726388,0.36744715061814537,0.5818221735653927,8.963395609846017,0.16555844224252536,0.6604621442087804,11.896304772296208,0.52090295497824,0.4432482358202411
imagenet_sketch,50,llamagen,random_uniform,50889,0.312710448714308,0.05669468049692963,0.18289170697626844,0.36857373993920456,0.5876712448520383,8.834366649444426,0.16753418926828226,0.6601726095183881,11.774218934568333,0.5222976513138293,0.44357334886499294
imagenet_sketch,50,llamagen,farthest,50889,0.5354084434587101,0.07226523961644828,0.13822233403236756,0.5092381008709792,0.7395801411608385,4.657970786397947,0.040535865663283085,0.7698092898499062,7.682326195445231,0.43773765619089094,0.5359169867950957
imagenet_sketch,50,vqgan,closest,50889,0.07749615391252478,0.019373087813367194,0.2578173404124805,0.2368226836061362,0.46622424705346427,17.863800396132643,0.6462760605119314,0.18434540204884328,20.415253092374673,0.796582080486934,0.12059364752872635
imagenet_sketch,50,vqgan,orthogonal,50889,0.3297424732047649,0.050241193450035145,0.15417541061170947,0.4684404675894701,0.7028005366121097,8.16746648051648,0.11647120859680637,0.6821692053568796,11.043776158853474,0.47129237221296205,0.48079014497239086
imagenet_sketch,50,vqgan,random_uniform,50889,0.31049139924719155,0.05787522725909934,0.19432572589298747,0.42845850007667774,0.645385908951367,9.537683096386779,0.31580789695851497,0.8139132656907068,12.276795959244035,0.5574273918398757,0.5456861403657041
imagenet_sketch,50,vqgan,farthest,50889,0.6862089343130108,0.09078272056344719,0.13611298433938265,0.7812863125759406,0.9411165945562988,2.4224770529053097,0.0032163700002579955,0.838453450002702,5.3694899958617475,0.3399293326329626,0.6493975398661793
imagenet_sketch,75,llamagen,closest,50889,0.05545318404235383,0.014744618026428966,2.4306723698369357,0.15306585655991212,0.30995063061983297,,0.7467232196026823,0.12250112789636577,21.037979199802663,0.7943454697052043,0.10710221585110684
imagenet_sketch,75,llamagen,orthogonal,50889,0.3720981086591268,0.0979250566692959,0.26667293417938326,0.4162502308651325,0.5848806706957804,7.693715039040443,0.1585213262119919,0.7157192001218338,8.71257071574953,0.297718400475487,0.6404677615204784
imagenet_sketch,75,llamagen,random_uniform,50889,0.38010542977289014,0.09750714613239053,0.2612690977593055,0.4185672530415707,0.5924144517347327,7.502971084954728,0.1610980749615985,0.7145389832067097,8.526667717446912,0.30049236677435587,0.6393358795460463
imagenet_sketch,75,llamagen,farthest,50889,0.6294510264019233,0.12336154735578414,0.2016989081835246,0.5846478445520172,0.7618289699547541,3.474613600905436,0.031068992301239214,0.8254328469499793,4.529979994631971,0.18211968525216216,0.7500431104493358
imagenet_sketch,75,vqgan,closest,50889,0.06889409890881251,0.022265048220062623,0.3212804158888593,0.24480282411420207,0.44796352203019973,18.522774791797453,0.684703703464681,0.18801196269107845,19.39976675185792,0.7375936535726928,0.1643320464720581
imagenet_sketch,75,vqgan,orthogonal,50889,0.3853955905986684,0.07498385935683692,0.1992520982770132,0.4935188082183482,0.6877631660817929,7.192302459284969,0.13949179816252275,0.7287725414013834,8.218397441284859,0.2715569661604115,0.6638659267136562
imagenet_sketch,75,vqgan,random_uniform,50889,0.37271690140615815,0.07700966830875351,0.21774176810466309,0.4345030242913956,0.6138868549712418,8.141752305445962,0.3716392096111689,0.8756217384589499,9.1422672682755,0.44455689676712107,0.7804946747992567
imagenet_sketch,75,vqgan,farthest,50889,0.7472096477840099,0.1667867238102878,0.22816841176969305,0.855440868099476,0.9453964532439696,1.9001949183143745,-0.0018671955119292645,0.8491994179427282,2.8996727523672083,0.10099391769737881,0.8192159229217021
imagenet_val,10,llamagen,closest,50000,0.06672753542329259,0.00808174124100991,1.6750450986897691,0.07983371729999134,0.1980702221821477,,0.6286964984637499,0.1088667296385765,29.337518303236468,0.9442808693516255,0.02478076301336288
imagenet_val,10,llamagen,orthogonal,50000,0.20967424916296618,0.023210142714276613,0.11519853756091415,0.19780471858756632,0.39368297442835615,11.946000248817157,0.13935836899003654,0.518849091796875,20.829944664006206,0.8382351042664051,0.11649346313476562
imagenet_val,10,llamagen,random_uniform,50000,0.2078086040779681,0.022965613379639663,0.11536948533152835,0.19632852121548,0.3948408197555782,11.974100600576767,0.14977651076158097,0.5114023522949219,20.864218771295622,0.8405827019619941,0.11489842163085938
imagenet_val,10,llamagen,farthest,50000,0.32883287433363073,0.029781699993140846,0.09518008626204172,0.2563174675409684,0.4940972812302869,8.417614265136525,0.03463729919221818,0.6304487524414063,17.58351076738941,0.806616475148201,0.15123609008789063
imagenet_val,10,vqgan,closest,50000,0.06963779308390182,0.011460499268210547,0.18350747525370897,0.1100998626264288,0.26198917472752054,20.444096806480953,0.5977952934512496,0.13923729942560195,28.30019497916606,0.9292820106041432,0.03387781080007553
imagenet_val,10,vqgan,orthogonal,50000,0.22677038182108727,0.029047499058788676,0.1316948290830606,0.25790508454323213,0.48483140431165606,11.143801500812499,0.1097488584415361,0.537071181640625,19.652790565912312,0.7988669280695915,0.14099643310546875
imagenet_val,10,vqgan,random_uniform,50000,0.18661669600002212,0.02973007569941874,0.1693192622716733,0.23513200495427863,0.4256670095378437,13.405100907024714,0.2103619534121855,0.5979222131347657,21.286064713858455,0.8057683935797214,0.13625497894287109
imagenet_val,10,vqgan,farthest,50000,0.5918778068689635,0.053202381138689324,0.09176499889298191,0.5489018016754245,0.808268506449953,3.959010765526503,0.050105138766956395,0.730229453125,12.9458316910402,0.726447547864914,0.221456767578125
imagenet_val,25,llamagen,closest,50000,0.06728211642591587,0.012931830052393161,0.1990814313643086,0.10495698972455202,0.2333843267012181,20.363229003079883,0.6217053698611259,0.13420060427069663,25.52930896704305,0.8739861303329468,0.056943931198120114
imagenet_val,25,llamagen,orthogonal,50000,0.22190314925671978,0.03892943126598197,0.17950192045388325,0.25133360840761326,0.44135028279898864,11.452629774348578,0.12854899629877412,0.5987360986328125,16.73678452764427,0.6558665138441324,0.2614333056640625
imagenet_val,25,llamagen,random_uniform,50000,0.219676117094025,0.03846901235947219,0.17953366843586566,0.2497168337303098,0.44302156429686496,11.480834836818872,0.13827383670620616,0.5923180810546875,16.77087953502771,0.6604831039756537,0.258410556640625
imagenet_val,25,llamagen,farthest,50000,0.35567813825660094,0.049631156495253036,0.14455533442094762,0.3276609587464231,0.5538525173003499,7.73722136005857,0.027365108579521596,0.7019480810546875,13.218934091969826,0.6003128170022368,0.323833271484375
imagenet_val,25,vqgan,closest,50000,0.07209910623800435,0.019026469416668173,0.26901846110047867,0.14764742537102613,0.31077482341827184,20.001637822711462,0.5791058937624097,0.18233522084712983,24.602735316784834,0.8415681423628331,0.08002363453865051
imagenet_val,25,vqgan,orthogonal,50000,0.23904108441904492,0.04551115515419904,0.1935495511561557,0.3170479164084229,0.5372676325947222,10.664759464486414,0.09836221897205713,0.6140924560546875,15.771223377057323,0.6036379130455851,0.294944423828125
imagenet_val,25,vqgan,random_uniform,50000,0.19976443850944658,0.05032233644174004,0.26426312482444986,0.30212960529350974,0.487441253075464,12.834045839490676,0.23233473312467334,0.7491041967773437,17.379561826298183,0.6090864226216077,0.32142336059570314
imagenet_val,25,vqgan,farthest,50000,0.6072305908717979,0.08993105100252384,0.15015249586476095,0.6728830941941673,0.8541886801129291,3.735026776568635,0.049567331531737056,0.790445537109375,9.028045873061794,0.47428286198973657,0.4399339892578125
imagenet_val,50,llamagen,closest,50000,0.06577078914607294,0.019197049019758543,0.2969278928196217,0.13082212244922609,0.26571595742067744,20.44026657797825,0.6289698322439193,0.14440700902581216,23.126577077444164,0.7843218703842163,0.09677129650115966
imagenet_val,50,llamagen,orthogonal,50000,0.22851628811537242,0.060688371048097316,0.26994186167967293,0.3032345210470816,0.4816873693106091,11.240861600025513,0.12855612079365641,0.6379557421875,13.993578570629081,0.43343006855636834,0.4422509619140625
imagenet_val,50,llamagen,random_uniform,50000,0.2261807944257652,0.05998364738307202,0.26992623308532415,0.30233440470006745,0.48466171171391287,11.26977745668979,0.13819214205808933,0.632664365234375,14.026562016418614,0.4405217661009729,0.438161220703125
imagenet_val,50,llamagen,farthest,50000,0.37574937278278286,0.07764931189683147,0.21269732995207655,0.4025631499714437,0.6098387821482203,7.279861637099014,0.024444550194620385,0.742339619140625,10.179156144976481,0.3520565063998103,0.53218111328125
imagenet_val,50,vqgan,closest,50000,0.07220059928118325,0.02827406500547964,0.3924160779276339,0.1834681025233965,0.3517493740179051,19.977094921895077,0.5794403785121441,0.20564629445075988,22.273731338982792,0.7341363110625744,0.13949433839797973
imagenet_val,50,vqgan,orthogonal,50000,0.2465897009431027,0.0671222838096424,0.2758067844050833,0.3729177450884972,0.5823822328692492,10.41465539264769,0.09566121683275644,0.6554561962890625,13.093873780902582,0.37805932795062663,0.47986068359375
imagenet_val,50,vqgan,random_uniform,50000,0.20741005650608205,0.07456318219613634,0.3752227754925815,0.35227043340705394,0.5315082739353948,12.530663209483036,0.2576883156570233,0.8225709716796875,14.815818737574217,0.42463358793884515,0.5571330883789063
imagenet_val,50,vqgan,farthest,50000,0.6107473126206121,0.13958655506553846,0.23143631122112684,0.7459879264605721,0.875674547561247,3.6744986599588705,0.04910782901471384,0.8279026953125,6.416300365114839,0.242742714029476,0.6715048486328125
imagenet_val,75,llamagen,closest,50000,0.06506710271904578,0.02734105388554139,0.4221697427452582,0.15692235491020895,0.2907538113647181,20.534964505394065,0.6308413876235485,0.15401050201416017,21.419579712228952,0.6867860315847397,0.13763129470825194
imagenet_val,75,llamagen,orthogonal,50000,0.24221005370407725,0.09190862643553786,0.38527159704742553,0.35231329998794264,0.5095361290296269,10.848074961502695,0.12034356087992895,0.6753404736328125,11.763468770395114,0.21916299642041323,0.6170549951171875
imagenet_val,75,llamagen,random_uniform,50000,0.23992624717668692,0.09067629888719374,0.38422312282193366,0.3520952974842309,0.5127437090949362,10.87577453133517,0.12989073411350135,0.6711233056640625,11.794037815291416,0.22819379797380415,0.61281388671875
imagenet_val,75,llamagen,farthest,50000,0.4103703107233592,0.12036833997464286,0.30114020577213474,0.47719651517267664,0.6519133244112173,6.613805044555027,0.01899037735823003,0.7823580517578125,7.603679311660913,0.1220070582248113,0.7229394091796875
imagenet_val,75,vqgan,closest,50000,0.07358683017576581,0.03945152449003269,0.5321515390965804,0.21588923674266608,0.37829005903719715,19.92451365500262,0.5732997316208481,0.23010928085327148,20.63440724132104,0.6252460109513998,0.20595936767578124
imagenet_val,75,vqgan,orthogonal,50000,0.2610303007240164,0.0973501447416307,0.37852948662667024,0.42505675030954354,0.6145045754657185,10.014206215355744,0.08836878650465743,0.6966071875,10.913903364414017,0.1750019574016891,0.6506888525390625
imagenet_val,75,vqgan,random_uniform,50000,0.2202966870623266,0.10383797808306605,0.49145871318823137,0.38156786161020617,0.5397397636263231,12.083712158603914,0.269346249137409,0.8787906982421875,12.82385534232739,0.3077456780843809,0.7880865576171875
imagenet_val,75,vqgan,farthest,50000,0.6126466128523248,0.2134162783913812,0.35324530605327825,0.7796100466148674,0.8759976063609146,3.6448727447763014,0.046198674960503214,0.86088337890625,4.536027410469813,0.09101987227564412,0.83910095703125
imagenetv2,10,llamagen,closest,10000,0.06660422404536624,0.0079142652267923,0.12754234164492126,0.07789608588103676,0.19181224183815945,20.720433849207147,0.6337006786495447,0.1098861792564392,29.412449585519852,0.9454668277859688,0.025271791172027585
imagenetv2,10,llamagen,orthogonal,10000,0.21014717196860852,0.022763527279546482,0.11264192371596794,0.19366148581801,0.38648770662723814,11.924831291508422,0.1388247512543268,0.5125003784179688,20.853894611936717,0.8406513024568558,0.11654544067382812
imagenetv2,10,llamagen,random_uniform,10000,0.20896592204323539,0.022567289190396866,0.11271807648912822,0.19247062299808507,0.388866070969045,11.929860054543804,0.14947937893514748,0.5049420532226563,20.867030860416612,0.8429630166649819,0.11490645751953125
imagenetv2,10,llamagen,farthest,10000,0.33374713953347507,0.029277357834959605,0.09192515647677744,0.2532527300969513,0.49137004039539434,8.29066653819062,0.031006449770500644,0.6251075561523437,17.504651846547382,0.8090999486207961,0.15132472534179686
imagenetv2,10,vqgan,closest,10000,0.06925589697838926,0.01112758069494909,0.16923929134343033,0.1055385893532914,0.24932115796124982,20.515695583574665,0.6051533676937223,0.13959178800582886,28.46340846065198,0.9314653527498246,0.034259110927581785
imagenetv2,10,vqgan,orthogonal,10000,0.22668146685278756,0.028240581273821345,0.12818305554814297,0.25021061882384144,0.4736564013823981,11.149112744583503,0.11075693164538393,0.53110830078125,19.725222608588105,0.8032553890824318,0.14086204833984375
imagenetv2,10,vqgan,random_uniform,10000,0.18725395631713215,0.028911389940172273,0.16384018417903135,0.22755811443004773,0.41212520198490377,13.381994161455708,0.20992925770524884,0.5963551025390625,21.371424848765436,0.8102232324123383,0.13738665008544923
imagenetv2,10,vqgan,farthest,10000,0.592679976851491,0.052073414651853625,0.08966688126666356,0.5426147898036247,0.8064094730892081,3.9366791033485917,0.04788045888306003,0.7261990966796875,12.957546627058521,0.7319580840945243,0.221627685546875
imagenetv2,25,llamagen,closest,10000,0.06690842910586493,0.012635549513418713,0.19531566331307265,0.10168937502971455,0.22488728974371733,20.43552783324587,0.6279944186389447,0.13569242477416993,25.62951660424849,0.8767548770487309,0.05771939811706543
imagenetv2,25,llamagen,orthogonal,10000,0.22273701466606366,0.03834721166937759,0.17605126958682313,0.24645737641388887,0.43322465486399153,11.430812994193944,0.12846642019005952,0.5919685302734375,16.742692321209873,0.6595894261807204,0.26029254150390624
imagenetv2,25,llamagen,random_uniform,10000,0.2205520376308406,0.03787330673162361,0.1760625418134304,0.2449932811738174,0.4357800191041623,11.454521591666273,0.138559534354601,0.585683837890625,16.77214400985199,0.6642327146679163,0.257315576171875
imagenetv2,25,llamagen,farthest,10000,0.36208003500677893,0.049059583824862946,0.14003066510336176,0.3250717377567063,0.5522166464321422,7.590564120019767,0.024000676127217607,0.6980392333984375,13.10040593324106,0.6033274462401866,0.32365755615234376
imagenetv2,25,vqgan,closest,10000,0.07150995983085882,0.018451881346847783,0.2628152348459238,0.14072720012321854,0.2959605044780458,20.100708590471612,0.587126850143075,0.18318296966552736,24.76140638914014,0.8459326354503631,0.0806881477355957
imagenetv2,25,vqgan,orthogonal,10000,0.2386898957787487,0.044361926499496766,0.1891265915988748,0.3081446645035292,0.524941599893621,10.68252910836436,0.09924867296874286,0.607559228515625,15.82736737325218,0.6097307815879583,0.2934930419921875
imagenetv2,25,vqgan,random_uniform,10000,0.20045614145832935,0.048992029429217106,0.2562140483118368,0.29138577255575326,0.47040345819514895,12.823102119273644,0.23257893278002734,0.748613720703125,17.44773487181332,0.6169008161783218,0.32257628173828123
imagenetv2,25,vqgan,farthest,10000,0.6087666275497535,0.08837137306728152,0.14718829521982577,0.6675334319336855,0.8511885160453485,3.709993480590499,0.04721401742183117,0.7857578125,9.024483043267548,0.48163348631560804,0.4390927734375
imagenetv2,50,llamagen,closest,10000,0.0651987297629311,0.01871085825981371,0.2919614681602601,0.12606839620235502,0.25531129269059133,20.544367960077405,0.6361506023585797,0.14562207946777345,23.24974497098042,0.7893341165602207,0.09763191452026367
imagenetv2,50,llamagen,orthogonal,10000,0.22945281435036932,0.06017863670841873,0.26648872591784273,0.2982526428180477,0.47331533247523405,11.218167758067263,0.12882875977918734,0.6317772216796875,13.984985014736871,0.43727791140824557,0.439646337890625
imagenetv2,50,llamagen,random_uniform,10000,0.22772378293100992,0.059464534151271946,0.26569943450247874,0.298223310731343,0.47813943224436845,11.221639676420024,0.13817951718969265,0.6267416748046875,13.993704915255305,0.444154841683805,0.435770654296875
imagenetv2,50,llamagen,farthest,10000,0.3835651743895498,0.07739571248935294,0.20741052760836998,0.4016898505348477,0.6099192246796511,7.114577148900796,0.020659390043295908,0.740056591796875,10.028542061722153,0.3531698149144649,0.5320445068359375
imagenetv2,50,vqgan,closest,10000,0.07146155333713711,0.0274972436704379,0.3859379534303229,0.1744379459769737,0.33439618903539853,20.09934600902748,0.5875884236633777,0.2069640319824219,22.434081410085064,0.7407250593483448,0.1406825714111328
imagenetv2,50,vqgan,orthogonal,10000,0.24651614006286732,0.06583873993200583,0.2709237903765368,0.3638146740571771,0.570820840644595,10.423575257202138,0.09679757027998562,0.6494456787109375,13.123669350980231,0.3842301780007779,0.4767234619140625
imagenetv2,50,vqgan,random_uniform,10000,0.20853509631386632,0.0733452961494092,0.36725701686991485,0.34063678926483454,0.5125500830852181,12.510430551295691,0.2586110900439322,0.822161474609375,14.837387926658531,0.4314441207677126,0.557419189453125
imagenetv2,50,vqgan,farthest,10000,0.613342342887239,0.13839860196992612,0.22852260867479263,0.74443470319569,0.8726723329219156,3.639093225852403,0.0468714165865138,0.82242158203125,6.3903794325092385,0.24718856366127726,0.667299951171875
imagenetv2,75,llamagen,closest,10000,0.06440060171337689,0.026633581734282274,0.4154828358765238,0.1509821848479192,0.2786108429341732,20.65488059312006,0.6382836583286524,0.1554145965576172,21.54905568344824,0.6937402803182602,0.13879834747314454
imagenetv2,75,llamagen,orthogonal,10000,0.24361686878686056,0.09153386672331887,0.38150295915063687,0.347894181928113,0.5025057104267411,10.819219812402956,0.1209617183395661,0.669994580078125,11.739485948696942,0.22161337792538102,0.61265263671875
imagenetv2,75,llamagen,random_uniform,10000,0.24124794194352925,0.09002836805337762,0.37917928084660535,0.34822895290424666,0.5071368259900333,10.846568393345445,0.1303819267588667,0.6657318115234375,11.770338465919199,0.23054913697540755,0.608359765625
imagenetv2,75,llamagen,farthest,10000,0.41915190058330043,0.12045099693290492,0.29478147746592065,0.4778774217000975,0.6532734713699034,6.4454870710429075,0.015369317458960688,0.7801706298828125,7.441028817201189,0.12041582414442668,0.7212212646484375
imagenetv2,75,vqgan,closest,10000,0.07282564755518586,0.038494621953144396,0.5250019415828047,0.2051705835491418,0.3597420561531401,20.05419633617448,0.5813023433804512,0.23239321899414062,20.780362348872657,0.6331988427788019,0.20822242431640625
imagenetv2,75,vqgan,orthogonal,10000,0.26161546644964645,0.09630395452811007,0.37385980528699336,0.41712498378359514,0.6050981895479419,10.005010147858306,0.08918940436169501,0.690695166015625,10.911483904222871,0.17829289384447033,0.644948779296875
imagenetv2,75,vqgan,random_uniform,10000,0.22223609378236114,0.10342113497886278,0.4855427941852807,0.37214284723357105,0.5269643185191767,12.04239859667704,0.2701337976025417,0.8760278076171875,12.793963948417195,0.31047461167201396,0.785207666015625
imagenetv2,75,vqgan,farthest,10000,0.6161377557558662,0.21282654903398007,0.35009929277537455,0.7793246651786565,0.8738857214172385,3.601230648580252,0.044466395502195485,0.854040283203125,4.495973775797015,0.09118019238364646,0.831616796875
