model,dataset,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,fid,sfid,precision,recall,inception
LlamaGen,ImageNet,20.793682,3.184499,0.55842,0.167186,0.228152,0.058472,2.1900201980936913,5.007601707271533,0.97766,0.99508,52.7037239074707
LlamaGen,ImageNet-V2,20.953198,3.132404,0.571562,0.16231,0.230828,0.058943,4.340310181774612,20.125804267348144,0.9896,0.9977,90.68623352050781
LlamaGen,ImageNet-Sketch,20.258672,5.782762,0.752088,0.150456,0.127749,0.064468,3.688819835465324,8.12855401606862,0.9444477195464639,0.965925838589872,12.392073631286621
LlamaGen,ObjectNet,23.878325,3.198101,0.683478,0.158483,0.207518,0.052531,2.932944716815598,5.6094949103746785,0.9943110616036441,0.9972549877667933,11.188375473022461
LlamaGen,OrganAMNIST,26.791059,3.038687,0.80523,0.128617,0.182356,0.055278,57.15800646950419,33.04314358900899,0.19203665168657214,0.4176298809169916,3.174509286880493
LlamaGen,RVL-CDIP,20.494851,4.120761,0.763508,0.14395,0.093503,0.053298,5.084559135103149,11.138026593610789,0.8805130513051305,0.8671867186718671,2.390076160430908
LlamaGen,BloodMNIST,27.101034,2.457337,0.802003,0.076603,0.157412,0.029339,19.601578412845527,12.589045035768436,0.7314533114907559,0.9272759185583899,2.298173427581787
VQGAN,ImageNet,19.649455,3.406491,0.488608,0.175846,0.285628,0.06572,5.055368242313705,6.4892922501255725,0.92036,0.97268,46.760414123535156
VQGAN,ImageNet-V2,19.831684,3.339825,0.501436,0.171765,0.288779,0.066414,7.479044119147147,24.182416141574436,0.958,0.9844,73.94044494628906
VQGAN,ImageNet-Sketch,18.226843,4.386636,0.695854,0.17025,0.169755,0.07718,5.976393306687157,7.777254533889163,0.885613786869461,0.9182927548193126,11.556153297424316
VQGAN,ObjectNet,22.792442,3.608505,0.610994,0.175466,0.268003,0.060494,5.796088337355002,7.063101528209131,0.9405048435541941,0.97515565015018,11.13182544708252
VQGAN,OrganAMNIST,26.580238,3.673693,0.732107,0.142772,0.23902,0.058537,76.11825419008682,39.53507411329065,0.08178432161155508,0.23229055554584083,3.1136045455932617
VQGAN,RVL-CDIP,18.226271,4.157672,0.698772,0.174751,0.127864,0.066208,8.017577417357046,19.062083541562743,0.6741674167416741,0.7474247424742474,2.5381393432617188
VQGAN,BloodMNIST,26.37967,2.887773,0.766061,0.090811,0.200647,0.039598,29.01583596198168,21.323704273125145,0.4611514158670723,0.6022115609641938,2.220612049102783
