model,dataset,dataset_label,n_images,active_codes,active_fraction_full,imagenet_active_retention,active_set_jaccard,perplexity,perplexity_ratio_vs_imagenet,top_10_mass,top_100_mass,top_500_mass,js_divergence_vs_imagenet
LlamaGen,imagenet,ImageNet,50000,16384,1.0,1.0,1.0,16179.189378227627,1.0,0.0029328125000000005,0.011967187499999999,0.045642265625,0.0
LlamaGen,imagenet_v2,ImageNet-V2,10000,16384,1.0,1.0,1.0,16094.903808840323,0.9947904949118942,0.0027562499999999996,0.012407031250000002,0.0477859375,0.002027463325608511
LlamaGen,imagenet_sketch,ImageNet-Sketch,50889,16383,0.99993896484375,0.99993896484375,0.99993896484375,6095.064780875541,0.3767225068196361,0.09520207277112934,0.18638897281337816,0.3029878755723241,0.1531443218903299
LlamaGen,objectnet,ObjectNet,50273,16384,1.0,1.0,1.0,14817.43585374541,0.915833019031551,0.0066683563990611264,0.029941130800827487,0.08933628637638494,0.020025410866472502
LlamaGen,organamnist,OrganAMNIST,57187,16383,0.99993896484375,0.99993896484375,0.99993896484375,10099.191216183304,0.6242087276494711,0.02695003071065102,0.07002943741584626,0.1673380750869953,0.10352410912045498
LlamaGen,bloodmnist,BloodMNIST,17092,16124,0.984130859375,0.984130859375,0.984130859375,5810.776915677796,0.35915130108417986,0.023922467382401124,0.12931991209337698,0.323857881245612,0.22596294102954723
LlamaGen,rvlcdip,RVL-CDIP,39996,16288,0.994140625,0.994140625,0.994140625,3721.318353695645,0.2300064772530218,0.11313064900240025,0.21633305908715872,0.3675075515364036,0.2509849900838572
VQGAN,imagenet,ImageNet,50000,972,0.059326171875,1.0,1.0,910.4646632966759,1.0,0.021548828125,0.16476875000000002,0.664882109375,0.0
VQGAN,imagenet_v2,ImageNet-V2,10000,972,0.059326171875,1.0,1.0,911.0844781036167,1.0006807675596068,0.021473828125,0.16457578125,0.6632296875,0.00038805932127144207
VQGAN,imagenet_sketch,ImageNet-Sketch,50889,972,0.059326171875,1.0,1.0,411.3809101905223,0.4518362181141273,0.22879223039360175,0.4557826685285621,0.8509753612028139,0.12765418591078578
VQGAN,objectnet,ObjectNet,50273,972,0.059326171875,1.0,1.0,875.4613794350385,0.9615544839105616,0.02435506820261373,0.19714685939768864,0.6998257482893403,0.006819711995151257
VQGAN,organamnist,OrganAMNIST,57187,972,0.059326171875,1.0,1.0,742.9797539415702,0.8160445801941787,0.0613881050326123,0.2690005759613199,0.780420211324252,0.042355973555514334
VQGAN,bloodmnist,BloodMNIST,17092,966,0.0589599609375,0.9938271604938271,0.9938271604938271,452.2080639366668,0.4966783249986653,0.12035852847823543,0.44999876586999765,0.9373669882108588,0.15748139311054485
VQGAN,rvlcdip,RVL-CDIP,39996,971,0.05926513671875,0.9989711934156379,0.9989711934156379,295.46911253489105,0.3245256235041954,0.25631508463346336,0.5479833139563958,0.9273086488336334,0.19488718241418806
