model,dataset_label,n_images,psnr_mean,ssim_mean,lpips_mean,fid,js_divergence_vs_imagenet,perplexity_ratio_vs_imagenet,top_100_mass,mean_entropy_delta,median_l1_distance,median_effective_support_ratio,fraction_more_spatially_concentrated
LlamaGen,BloodMNIST,17092,27.101034,0.802003,0.157412,19.601578412845527,0.22596294102954723,0.35915130108417986,0.12931991209337698,-1.551854005171913,0.966906495138297,0.6346828038907288,0.9964285714285714
VQGAN,BloodMNIST,17092,26.37967,0.766061,0.200647,29.01583596198168,0.15748139311054485,0.4966783249986653,0.44999876586999765,-1.0034392616015655,0.6956627240798754,0.705449731996056,0.9987046632124352
LlamaGen,ImageNet-Sketch,50889,20.258672,0.752088,0.127749,3.688819835465324,0.1531443218903299,0.3767225068196361,0.18638897281337816,-1.1657046002051636,0.7530630581073401,0.8533917733366886,0.8641534267180596
VQGAN,ImageNet-Sketch,50889,18.226843,0.695854,0.169755,5.976393306687157,0.12765418591078578,0.4518362181141273,0.4557826685285621,-0.9040521778175343,0.3463904794891287,0.9135145585448622,0.9958720330237358
LlamaGen,ImageNet-V2,10000,20.953198,0.571562,0.230828,4.340310181774612,0.002027463325608511,0.9947904949118942,0.012407031250000002,-0.6824976272801231,0.8321810875048532,0.6655081993242076,0.9375
VQGAN,ImageNet-V2,10000,19.831684,0.501436,0.288779,7.479044119147147,0.00038805932127144207,1.0006807675596068,0.16457578125,-0.03903547694308992,0.27460994044194265,0.9601371591171424,0.996900826446281
LlamaGen,ObjectNet,50273,23.878325,0.683478,0.207518,2.932944716815598,0.020025410866472502,0.915833019031551,0.029941130800827487,-0.29787441895111694,0.7517519379844961,0.8837248758854375,0.9616347974830473
VQGAN,ObjectNet,50273,22.792442,0.610994,0.268003,5.796088337355002,0.006819711995151257,0.9615544839105616,0.19714685939768864,-0.13084724015409788,0.30487118646881983,0.9397694198396076,0.9969040247678018
LlamaGen,OrganAMNIST,57187,26.791059,0.80523,0.182356,57.15800646950419,0.10352410912045498,0.6242087276494711,0.07002943741584626,-0.5435005875618947,0.7381187056375491,0.9116429749683588,0.7165490196078431
VQGAN,OrganAMNIST,57187,26.580238,0.732107,0.23902,76.11825419008682,0.042355973555514334,0.8160445801941787,0.2690005759613199,-0.2488465949062864,0.30052517828509206,0.9650751662700968,0.9721362229102167
LlamaGen,RVL-CDIP,39996,20.494851,0.763508,0.093503,5.084559135103149,0.2509849900838572,0.2300064772530218,0.21633305908715872,-1.6678508742748304,0.7797935885128222,0.8408869705657598,0.8731343283582089
VQGAN,RVL-CDIP,39996,18.226271,0.698772,0.127864,8.017577417357046,0.19488718241418806,0.3245256235041954,0.5479833139563958,-1.2540985850361717,0.4643233689172255,0.840100726904959,0.9967567567567568
